serviceCharge,heatingType,newlyConst,balcony,picturecount,pricetrend,totalRent,yearConstructed,scoutId,firingTypes,hasKitchen,cellar,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,floor,noRoomsRange,garden,livingSpaceRange,regio3,heatingCosts,date
0,NA,FALSE,TRUE,29,5.89,1800,2001,113440710,gas,FALSE,FALSE,1800,68,NA,NA,NA,TRUE,NA,80992,2.5,4,2,FALSE,3,Moosach,NA,Oct19
0,NA,FALSE,FALSE,20,7.22,1350,1963,111295037,gas,FALSE,FALSE,1350,40,NA,NA,NA,FALSE,NA,81539,1,3,1,FALSE,1,Obergiesing,NA,May19
160,gas_heating,FALSE,TRUE,22,7.04,1410,1998,111000093,gas,TRUE,TRUE,1250,47,modernized,sophisticated,negotiable,FALSE,apartment,81667,2,3,2,TRUE,2,Haidhausen,NA,May19
300,self_contained_central_heating,FALSE,TRUE,9,6.23,1300,1971,113409350,gas,TRUE,TRUE,1000,49.55,modernized,normal,negotiable,TRUE,apartment,80807,2,1,2,TRUE,2,Milbertshofen,NA,Oct19
NA,floor_heating,TRUE,TRUE,13,5.66,2200,2019,115597574,environmental_thermal_energy,TRUE,TRUE,2200,96,first_time_use,luxury,negotiable,TRUE,ground_floor,81545,3,1,3,TRUE,4,Untergiesing,NA,Feb20
280,central_heating,FALSE,TRUE,22,5.85,2430,1958,113375949,district_heating,TRUE,TRUE,2150,118,fully_renovated,sophisticated,NA,TRUE,roof_storey,80335,3.5,NA,3,FALSE,5,Maxvorstadt,NA,Oct19
120,central_heating,TRUE,FALSE,10,5.73,1470,2019,113607834,NA,TRUE,TRUE,1350,42,first_time_use,NA,yes,TRUE,apartment,80337,1,1,1,FALSE,2,Ludwigsvorstadt_Isarvorstadt,NA,Oct19
550,NA,FALSE,TRUE,10,5.43,1990,NA,113657654,NA,TRUE,FALSE,1440,79,first_time_use_after_refurbishment,luxury,no,TRUE,ground_floor,80638,3,NA,3,FALSE,3,Nymphenburg,NA,Oct19
0,NA,FALSE,TRUE,29,5.41,4500,NA,115506922,NA,FALSE,TRUE,4500,150,NA,NA,NA,TRUE,NA,81675,3.5,1,3,FALSE,6,Haidhausen,NA,Feb20
250,floor_heating,FALSE,TRUE,13,4.98,1499,1969,115197007,district_heating,FALSE,TRUE,1190,81,modernized,NA,NA,TRUE,apartment,81735,3,3,3,FALSE,4,Perlach,120,Feb20
0,floor_heating,FALSE,TRUE,29,5.59,2760,NA,115639120,gas,FALSE,FALSE,2760,89,NA,NA,NA,TRUE,NA,80333,3,2,3,FALSE,4,Maxvorstadt,NA,Feb20
250,central_heating,FALSE,TRUE,19,5.63,NA,2018,114249749,gas,TRUE,TRUE,2100,65.2,first_time_use,luxury,no,TRUE,NA,80336,2.5,3,2,TRUE,3,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
273.52,floor_heating,FALSE,TRUE,3,5.57,3023.52,NA,115602063,NA,TRUE,TRUE,2750,94.32,NA,NA,negotiable,TRUE,apartment,80804,2.5,10,2,FALSE,4,Schwabing,NA,Feb20
170,NA,FALSE,TRUE,5,6.61,970,NA,111220895,NA,TRUE,TRUE,800,49.16,NA,NA,NA,FALSE,roof_storey,81377,2,2,2,FALSE,2,Hadern,NA,May19
135,NA,FALSE,TRUE,12,7.53,1085,1964,111286336,district_heating,TRUE,TRUE,950,29,first_time_use_after_refurbishment,sophisticated,NA,FALSE,raised_ground_floor,80796,1,0,1,FALSE,1,Schwabing_West,NA,May19
NA,NA,FALSE,TRUE,8,7.34,NA,NA,110343067,district_heating,FALSE,TRUE,790,20,NA,NA,NA,TRUE,NA,80336,1,4,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,May19
0,NA,FALSE,TRUE,29,5.73,3600,1965,113487577,gas,FALSE,TRUE,3600,140,NA,NA,NA,TRUE,NA,81371,3.5,2,3,FALSE,6,Sendling,NA,Oct19
0,NA,FALSE,TRUE,29,5.79,2500,2001,115309047,gas,FALSE,FALSE,2500,89,NA,NA,NA,TRUE,NA,80992,3,3,3,FALSE,4,Moosach,NA,Feb20
100,central_heating,FALSE,TRUE,16,8.22,1300,1977,101558917,gas,TRUE,TRUE,1200,54,modernized,sophisticated,negotiable,TRUE,apartment,81541,2,4,2,FALSE,2,Obergiesing,40,Feb20
825,NA,FALSE,TRUE,18,6.9,3425,2015,106717227,NA,TRUE,TRUE,2600,104,mint_condition,sophisticated,negotiable,TRUE,apartment,80469,3,4,3,FALSE,5,Altstadt,NA,Sep18
0,NA,FALSE,FALSE,29,7.57,2000,NA,110857929,NA,FALSE,FALSE,2000,77,NA,NA,NA,TRUE,NA,80802,2,5,2,FALSE,3,Schwabing,NA,May19
35,NA,FALSE,TRUE,6,5.85,970,1960,112516717,district_heating,TRUE,TRUE,900,30,NA,NA,NA,FALSE,apartment,80799,1,1,1,FALSE,1,Maxvorstadt,35,Oct19
0,NA,FALSE,TRUE,21,5.85,1300,1985,113667812,district_heating,FALSE,FALSE,1300,27,NA,NA,NA,TRUE,NA,80333,1.5,4,1,FALSE,1,Maxvorstadt,NA,Oct19
215,central_heating,TRUE,FALSE,7,7.03,NA,2018,107316758,NA,FALSE,FALSE,1240,62.26,first_time_use,NA,NA,FALSE,roof_storey,81245,2,NA,2,FALSE,3,Obermenzing,NA,Sep18
190,gas_heating,FALSE,TRUE,9,5.12,1040,1995,113764177,gas,TRUE,TRUE,850,60.1,well_kept,sophisticated,negotiable,FALSE,apartment,81827,2,1,2,FALSE,2,Trudering,NA,Oct19
280,floor_heating,FALSE,TRUE,11,5.96,2055,2008,113786434,NA,TRUE,TRUE,1775,96,refurbished,normal,NA,TRUE,NA,81379,3.5,1,3,FALSE,4,Obersendling,NA,Oct19
