serviceCharge,heatingType,newlyConst,balcony,picturecount,pricetrend,totalRent,yearConstructed,scoutId,firingTypes,hasKitchen,cellar,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,floor,noRoomsRange,garden,livingSpaceRange,regio3,heatingCosts,date
0,NA,FALSE,TRUE,28,5.4,1550,NA,115351721,oil,FALSE,FALSE,1550,55,NA,NA,NA,FALSE,NA,80689,2,1,2,FALSE,2,Laim,NA,Feb20
140,central_heating,FALSE,TRUE,4,5.42,NA,1950,115639184,gas,TRUE,FALSE,880,50,fully_renovated,sophisticated,negotiable,TRUE,apartment,80469,2,4,2,FALSE,2,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
100,floor_heating,TRUE,TRUE,10,6.1,1200,2019,111261831,district_heating,TRUE,TRUE,1040,52,first_time_use,sophisticated,no,TRUE,NA,81249,2,2,2,FALSE,2,Aubing,60,May19
0,NA,FALSE,TRUE,29,6.74,7000,2009,109671335,NA,FALSE,FALSE,7000,240,NA,NA,NA,TRUE,NA,80333,4,6,4,FALSE,7,Maxvorstadt,NA,May19
120,central_heating,FALSE,FALSE,5,7.43,1460,NA,107333703,NA,TRUE,TRUE,1270,65,well_kept,NA,no,TRUE,roof_storey,80337,2,4,2,FALSE,3,Ludwigsvorstadt_Isarvorstadt,70,Sep18
160,central_heating,FALSE,TRUE,18,5.33,1950,1973,89169717,oil,TRUE,TRUE,1790,137.5,fully_renovated,NA,negotiable,FALSE,ground_floor,80999,5.5,NA,5,TRUE,6,Untermenzing,NA,Oct19
200,floor_heating,FALSE,TRUE,11,6.83,1300,1977,111206033,district_heating,TRUE,FALSE,1100,46,mint_condition,NA,NA,TRUE,apartment,81677,1,2,1,FALSE,2,Bogenhausen,NA,May19
100,central_heating,FALSE,TRUE,20,6.94,980,1966,99074910,NA,TRUE,TRUE,880,31,well_kept,normal,no,FALSE,raised_ground_floor,81543,1,0,1,TRUE,1,Untergiesing,NA,Feb20
255,central_heating,FALSE,TRUE,25,5.1,1755,1992,115375132,gas,TRUE,TRUE,1400,60,fully_renovated,sophisticated,no,TRUE,apartment,81241,2,2,2,FALSE,2,Pasing,NA,Feb20
200,district_heating,FALSE,TRUE,10,5.48,1450,1972,115675919,district_heating,FALSE,TRUE,1250,68,refurbished,sophisticated,NA,TRUE,apartment,80995,3,4,3,FALSE,3,Feldmoching,NA,Feb20
400,district_heating,FALSE,TRUE,10,7.11,1190,1960,98835321,district_heating,TRUE,FALSE,790,28,modernized,sophisticated,no,FALSE,apartment,80636,1,4,1,FALSE,1,Neuhausen,NA,May19
300,NA,FALSE,TRUE,8,6.83,1630,1983,111013174,NA,TRUE,TRUE,1330,68,refurbished,sophisticated,negotiable,TRUE,apartment,81925,2,2,2,FALSE,3,Bogenhausen,NA,May19
460,central_heating,FALSE,TRUE,16,7.56,NA,NA,106849011,NA,TRUE,FALSE,2750,117,NA,NA,no,FALSE,NA,81675,5,NA,5,FALSE,5,Haidhausen,NA,Sep18
130,NA,FALSE,FALSE,14,7.34,1280,NA,109532651,district_heating,TRUE,TRUE,1150,30,well_kept,luxury,NA,TRUE,apartment,80336,1,2,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,May19
390,self_contained_central_heating,FALSE,TRUE,20,5.72,4790,1900,113241059,NA,TRUE,TRUE,4400,170,well_kept,sophisticated,negotiable,TRUE,roof_storey,80469,4.5,4,4,FALSE,7,Ludwigsvorstadt_Isarvorstadt,NA,Oct19
236,NA,TRUE,TRUE,6,7.05,2491,2019,111286165,NA,FALSE,TRUE,2255,83.51,first_time_use,sophisticated,NA,TRUE,apartment,80336,3,3,3,FALSE,4,Ludwigsvorstadt_Isarvorstadt,NA,May19
171,floor_heating,FALSE,TRUE,5,5.53,1596,2018,115667037,district_heating,TRUE,TRUE,1325,57.62,mint_condition,sophisticated,NA,TRUE,apartment,80634,2,3,2,FALSE,2,Neuhausen,NA,Feb20
120,central_heating,FALSE,FALSE,8,7.06,1335,NA,111269596,district_heating,TRUE,TRUE,1095,30,well_kept,luxury,NA,TRUE,apartment,80336,1,3,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,May19
150,electric_heating,FALSE,FALSE,12,5.39,NA,1938,115405512,NA,TRUE,TRUE,1650,70,first_time_use_after_refurbishment,sophisticated,NA,FALSE,apartment,81377,3,NA,3,FALSE,3,Sendling_Westpark,NA,Feb20
208,NA,FALSE,TRUE,4,7.79,4078,1957,105798828,gas,TRUE,TRUE,3870,155,NA,luxury,NA,TRUE,roof_storey,81679,2,5,2,FALSE,7,Bogenhausen,NA,Sep18
145,district_heating,FALSE,TRUE,5,7.82,875,2015,88895091,district_heating,TRUE,FALSE,730,22.1,mint_condition,sophisticated,NA,TRUE,other,80797,1,1,1,TRUE,1,Schwabing_West,NA,Sep18
100,central_heating,FALSE,FALSE,20,5.94,1150,NA,110975986,NA,TRUE,FALSE,1050,18,first_time_use_after_refurbishment,sophisticated,NA,FALSE,apartment,80469,1,2,1,FALSE,1,Altstadt,NA,May19
250,central_heating,FALSE,TRUE,23,8.54,2130.08,1890,99144884,district_heating,TRUE,TRUE,1880.08,75,mint_condition,sophisticated,no,TRUE,other,81667,2,1,2,TRUE,3,Haidhausen,NA,Oct19
90,district_heating,FALSE,TRUE,2,5.86,1170,1961,115629018,district_heating,FALSE,TRUE,980,51,first_time_use,sophisticated,NA,TRUE,apartment,81541,2,4,2,FALSE,2,Au,100,Feb20
240,central_heating,FALSE,TRUE,19,5.65,2020,NA,115622367,gas,TRUE,TRUE,1780,80,refurbished,sophisticated,negotiable,TRUE,maisonette,81541,3,2,3,FALSE,3,Obergiesing,NA,Feb20
130,central_heating,FALSE,FALSE,14,5.92,820,NA,113837668,NA,TRUE,FALSE,690,20,NA,NA,no,FALSE,ground_floor,80939,1,0,1,TRUE,1,Freimann,NA,Oct19
95,central_heating,FALSE,TRUE,8,5.65,635,1972,51592528,liquid_gas,TRUE,TRUE,540,28,well_kept,sophisticated,NA,FALSE,apartment,81549,1,1,1,FALSE,1,Obergiesing,NA,Feb20
120,central_heating,FALSE,FALSE,7,5.42,750,1952,115443746,oil,TRUE,FALSE,630,30,refurbished,normal,negotiable,TRUE,apartment,80469,1,3,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
140,central_heating,FALSE,TRUE,16,5.82,1640,1900,53062264,gas,TRUE,TRUE,1500,60,fully_renovated,sophisticated,negotiable,TRUE,ground_floor,80339,3,0,3,TRUE,2,Schwanthalerhöhe,NA,Feb20
0,NA,FALSE,FALSE,24,5.6,1600,2018,114433966,gas,FALSE,FALSE,1600,37,NA,NA,NA,TRUE,NA,81379,1.5,3,1,FALSE,1,Obersendling,NA,Feb20
0,NA,FALSE,FALSE,24,7.56,1800,1958,106944132,gas,FALSE,FALSE,1800,54,NA,NA,NA,TRUE,NA,81541,2,NA,2,FALSE,2,Haidhausen,NA,Sep18
536.81,floor_heating,FALSE,TRUE,4,7.34,4682.01,2016,111394328,district_heating,TRUE,TRUE,3950,162.67,mint_condition,sophisticated,negotiable,TRUE,apartment,80804,3,4,3,FALSE,7,Schwabing,195.2,May19
0,NA,FALSE,TRUE,24,4.69,1500,2017,115676738,environmental_thermal_energy,FALSE,TRUE,1500,41,NA,NA,NA,TRUE,NA,81829,1.5,1,1,FALSE,2,Trudering,NA,Feb20
130,district_heating,FALSE,TRUE,6,7.65,NA,1972,107341442,NA,TRUE,TRUE,860,23.51,NA,NA,NA,FALSE,apartment,80804,1,1,1,FALSE,1,Schwabing,NA,Sep18
150,district_heating,FALSE,TRUE,10,6.19,800,NA,111360504,district_heating,TRUE,TRUE,650,32,well_kept,NA,NA,TRUE,other,81477,1,7,1,FALSE,1,Solln,NA,May19
105,self_contained_central_heating,FALSE,FALSE,9,4.55,1680,1895,61103285,NA,TRUE,TRUE,1575,75,fully_renovated,sophisticated,NA,FALSE,ground_floor,80799,2,0,2,FALSE,3,Maxvorstadt,NA,Oct19
210,district_heating,TRUE,TRUE,13,5.41,NA,2019,115543666,NA,TRUE,TRUE,1920,79.99,NA,sophisticated,NA,TRUE,apartment,81669,3,6,3,FALSE,3,Haidhausen,NA,Feb20
175,central_heating,FALSE,TRUE,20,6.83,1850,1994,111380277,gas,TRUE,FALSE,1675,73,mint_condition,normal,no,FALSE,apartment,81929,2.5,1,2,TRUE,3,Bogenhausen,NA,May19
290,district_heating,FALSE,TRUE,6,5.26,NA,1972,115590227,district_heating,TRUE,TRUE,1400,105.04,well_kept,sophisticated,no,TRUE,NA,81927,3,11,3,TRUE,5,Bogenhausen,NA,Feb20
150,district_heating,FALSE,TRUE,11,5.42,2400,2015,115457243,district_heating,TRUE,TRUE,2250,76,NA,luxury,NA,TRUE,apartment,80336,2,1,2,FALSE,3,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
160,district_heating,FALSE,TRUE,1,7.53,1020,1958,111233784,district_heating,TRUE,TRUE,1020,28,first_time_use_after_refurbishment,luxury,NA,TRUE,apartment,80796,1,4,1,FALSE,1,Schwabing_West,NA,May19
240,central_heating,FALSE,TRUE,13,6.25,2300,2016,88747128,geothermal,TRUE,FALSE,1970,115.41,mint_condition,sophisticated,negotiable,TRUE,ground_floor,81825,4,0,4,TRUE,5,Trudering,NA,May19
175,floor_heating,FALSE,TRUE,14,5.39,2625,NA,113154689,NA,FALSE,TRUE,2300,109,first_time_use,luxury,negotiable,TRUE,ground_floor,81375,4,NA,4,TRUE,5,Hadern,150,Oct19
180,district_heating,FALSE,TRUE,11,6.83,1300,1965,111329553,heat_supply,TRUE,TRUE,1120,55.5,first_time_use_after_refurbishment,sophisticated,no,TRUE,apartment,81925,2,1,2,FALSE,2,Bogenhausen,NA,May19
NA,NA,FALSE,FALSE,21,5.13,1500,NA,113518929,NA,TRUE,TRUE,1400,43,NA,NA,NA,TRUE,apartment,81735,1,NA,1,FALSE,2,Perlach,NA,Oct19
0,NA,FALSE,TRUE,18,7.06,1150,1984,111297475,gas,FALSE,FALSE,1150,28,NA,NA,NA,TRUE,NA,80337,1,2,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,May19
130,NA,FALSE,TRUE,13,6.04,1110,NA,113635052,NA,TRUE,TRUE,980,40,fully_renovated,sophisticated,negotiable,FALSE,apartment,81545,1.5,1,1,TRUE,1,Untergiesing,NA,Oct19
220,floor_heating,TRUE,FALSE,19,5.39,2388,2019,113863269,NA,FALSE,TRUE,1998,111,first_time_use,NA,NA,FALSE,apartment,81377,5,NA,5,FALSE,5,Hadern,110,Oct19
50,central_heating,FALSE,FALSE,3,5.42,1070,NA,115619507,NA,TRUE,FALSE,1020,18,modernized,sophisticated,no,FALSE,apartment,80337,1,2,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
350,central_heating,FALSE,TRUE,9,5.92,1965,1978,89027374,NA,TRUE,TRUE,1550,104,well_kept,normal,negotiable,FALSE,apartment,81477,4,1,4,TRUE,5,Solln,NA,May19
207,district_heating,FALSE,TRUE,1,6.09,1200,1991,111323416,NA,FALSE,TRUE,1200,71,NA,sophisticated,negotiable,TRUE,apartment,81739,3,3,3,FALSE,3,Perlach,NA,May19
360,district_heating,FALSE,TRUE,15,5.46,1560,1967,115093407,district_heating,TRUE,TRUE,1200,72,well_kept,normal,no,TRUE,apartment,81927,3,7,3,FALSE,3,Bogenhausen,NA,Feb20
350,NA,FALSE,TRUE,10,6.96,3990,2011,107553965,NA,TRUE,TRUE,3500,130,mint_condition,NA,NA,TRUE,apartment,81679,4,1,4,FALSE,6,Bogenhausen,NA,Oct19
300,floor_heating,FALSE,TRUE,10,7.56,2980,2012,106889201,steam_district_heating,TRUE,TRUE,2680,134.41,mint_condition,sophisticated,no,TRUE,apartment,81541,4,2,4,FALSE,6,Haidhausen,NA,Sep18
NA,NA,FALSE,TRUE,7,4.85,NA,1950,115691918,gas,FALSE,TRUE,1700,90,NA,NA,NA,FALSE,roof_storey,81249,3,2,3,FALSE,4,Aubing,NA,Feb20
0,central_heating,FALSE,TRUE,2,6.99,1153.97,1962,106780243,gas,FALSE,TRUE,1056.97,95.74,NA,normal,negotiable,FALSE,apartment,81673,4,5,4,FALSE,4,Berg_am_Laim,97,Sep18
120,central_heating,FALSE,FALSE,12,5.57,900,1980,112531924,NA,TRUE,TRUE,780,18,mint_condition,sophisticated,no,TRUE,ground_floor,80802,1,1,1,TRUE,1,Schwabing,NA,Feb20
170,district_heating,FALSE,TRUE,8,5.19,910,NA,113831614,district_heating,TRUE,FALSE,740,25,fully_renovated,normal,negotiable,TRUE,apartment,81476,1,1,1,FALSE,1,Forstenried,NA,Oct19
100,central_heating,FALSE,FALSE,6,5.53,950,1960,115600634,oil,TRUE,FALSE,850,35,NA,normal,no,TRUE,apartment,80636,2,1,2,FALSE,1,Neuhausen,NA,Feb20
298,floor_heating,FALSE,TRUE,20,5.13,1878,2017,113804795,district_heating,TRUE,TRUE,1580,75,mint_condition,sophisticated,NA,TRUE,apartment,81737,3,2,3,FALSE,3,Perlach,NA,Oct19
0,self_contained_central_heating,FALSE,FALSE,9,5.6,NA,NA,115635008,NA,FALSE,FALSE,990,15,mint_condition,NA,no,TRUE,NA,80993,1,NA,1,FALSE,1,Moosach,NA,Feb20
80,NA,FALSE,FALSE,0,5.59,880,NA,115666112,NA,TRUE,FALSE,800,34,fully_renovated,normal,no,FALSE,apartment,80799,1,4,1,FALSE,1,Maxvorstadt,NA,Feb20
134.79,central_heating,TRUE,TRUE,2,5.59,881.06,2020,115692344,NA,FALSE,TRUE,650.93,65.75,NA,NA,NA,TRUE,apartment,81379,3,2,3,FALSE,3,Obersendling,95.34,Feb20
120,self_contained_central_heating,FALSE,FALSE,16,7.09,2200,1900,90215908,gas,TRUE,TRUE,2080,104,well_kept,sophisticated,no,FALSE,raised_ground_floor,80636,3,0,3,FALSE,5,Maxvorstadt,NA,May19
185,floor_heating,TRUE,TRUE,17,5.09,1435,2019,113339820,district_heating,FALSE,TRUE,1250,59.29,first_time_use,sophisticated,negotiable,TRUE,ground_floor,81739,2,0,2,TRUE,2,Perlach,NA,Oct19
80,night_storage_heater,FALSE,TRUE,4,5.89,830,1987,112271332,electricity,TRUE,TRUE,750,42,negotiable,normal,NA,FALSE,ground_floor,80993,1,0,1,TRUE,2,Moosach,NA,Oct19
100,self_contained_central_heating,FALSE,TRUE,7,7.04,2700,1907,111383597,gas,TRUE,TRUE,2450,99,fully_renovated,sophisticated,NA,TRUE,other,81675,2.5,4,2,FALSE,4,Haidhausen,150,May19
230.5,NA,FALSE,TRUE,15,6.96,1840.5,NA,107309179,NA,TRUE,TRUE,1610,80,NA,NA,negotiable,TRUE,apartment,81927,3,3,3,FALSE,3,Bogenhausen,NA,Feb20
60,central_heating,TRUE,FALSE,10,7.43,NA,2019,109722548,combined_heat_and_power_fossil_fuels,FALSE,TRUE,360,21,first_time_use,NA,no,TRUE,NA,80809,1,1,1,TRUE,1,Milbertshofen,NA,May19
108,self_contained_central_heating,FALSE,FALSE,7,5.42,1998,1880,115689643,natural_gas_heavy,TRUE,FALSE,1890,93,first_time_use_after_refurbishment,sophisticated,negotiable,FALSE,apartment,80337,4,2,4,FALSE,4,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
150,floor_heating,FALSE,FALSE,0,5.51,1353.09,2018,115506691,district_heating,FALSE,FALSE,1203.09,55.28,mint_condition,NA,negotiable,FALSE,apartment,81829,2,6,2,FALSE,2,Riem,67,Feb20
100,oil_heating,FALSE,FALSE,6,5.26,1100,1964,115658546,NA,TRUE,TRUE,1000,31,NA,normal,no,FALSE,raised_ground_floor,81679,1,1,1,FALSE,1,Bogenhausen,NA,Feb20
0,NA,FALSE,FALSE,22,5.72,1700,NA,113323522,natural_gas_light,FALSE,FALSE,1700,56,NA,NA,NA,FALSE,NA,80469,2,NA,2,FALSE,2,Ludwigsvorstadt_Isarvorstadt,NA,Oct19
50,central_heating,FALSE,FALSE,5,5.6,820,NA,114791219,NA,TRUE,FALSE,770,18,modernized,sophisticated,no,FALSE,apartment,81369,1,NA,1,FALSE,1,Obersendling,NA,Feb20
300,floor_heating,FALSE,TRUE,12,5.56,1850,2012,113801102,district_heating,TRUE,FALSE,1450,68.69,well_kept,NA,no,TRUE,apartment,81927,2.5,2,2,FALSE,3,Bogenhausen,NA,Oct19
425,NA,TRUE,FALSE,9,4.6,3347,2019,114613346,NA,TRUE,FALSE,2827,131.5,NA,NA,NA,TRUE,NA,81477,3,NA,3,FALSE,6,Solln,NA,Feb20
100,self_contained_central_heating,FALSE,TRUE,18,5.19,1640,1982,113786941,natural_gas_heavy,TRUE,TRUE,1540,111,well_kept,sophisticated,yes,FALSE,maisonette,81477,3.5,1,3,FALSE,5,Forstenried,NA,Oct19
400,floor_heating,FALSE,TRUE,18,6.41,3100,2013,111314953,district_heating,TRUE,TRUE,2700,154,mint_condition,luxury,no,TRUE,terraced_flat,81245,4.5,2,4,FALSE,7,Obermenzing,NA,May19
100,NA,FALSE,TRUE,5,6.25,890,NA,110132095,NA,TRUE,FALSE,790,30,modernized,normal,no,FALSE,other,81827,1,1,1,FALSE,1,Trudering,NA,Feb20
351,central_heating,TRUE,TRUE,23,5.84,NA,2019,114984489,NA,FALSE,TRUE,2457,117,first_time_use,sophisticated,no,TRUE,roof_storey,81549,5,3,5,FALSE,5,Obergiesing,NA,Feb20
1700,NA,FALSE,TRUE,10,7.09,7000,2008,111140588,NA,TRUE,FALSE,4910,166,mint_condition,sophisticated,NA,TRUE,apartment,80333,4,1,4,FALSE,7,Maxvorstadt,NA,May19
400,central_heating,FALSE,FALSE,18,5.71,2350,1890,113826881,NA,FALSE,TRUE,1950,120,first_time_use_after_refurbishment,sophisticated,negotiable,FALSE,apartment,81671,3,1,3,TRUE,5,Berg_am_Laim,250,Oct19
344,floor_heating,TRUE,TRUE,10,4.45,4677,2019,113255521,NA,FALSE,FALSE,4333,137.53,first_time_use,luxury,negotiable,TRUE,apartment,80331,4,1,4,FALSE,6,Altstadt,NA,Oct19
0,NA,FALSE,TRUE,27,5.62,2650,2000,115241416,district_heating,FALSE,FALSE,2650,80,NA,NA,NA,TRUE,NA,80469,3,3,3,TRUE,3,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
155,central_heating,FALSE,TRUE,12,4.47,1444,1900,113828851,heat_supply,FALSE,FALSE,1209,71.8,well_kept,sophisticated,NA,TRUE,apartment,80331,2,5,2,FALSE,3,Altstadt,80,Oct19
70,central_heating,FALSE,TRUE,12,7.11,NA,NA,111011667,NA,TRUE,FALSE,1450,58,refurbished,sophisticated,negotiable,FALSE,NA,80636,2,4,2,FALSE,2,Neuhausen,130,May19
200,floor_heating,TRUE,TRUE,3,4.93,NA,2020,115249388,gas,FALSE,TRUE,1780,92,first_time_use,sophisticated,NA,FALSE,NA,81827,3,1,3,FALSE,4,Trudering,120,Feb20
0,NA,FALSE,TRUE,29,5.67,2100,1992,113792876,district_heating,FALSE,FALSE,2100,67,NA,NA,NA,TRUE,NA,81369,3,1,3,FALSE,3,Sendling_Westpark,NA,Oct19
400,central_heating,FALSE,TRUE,19,7.43,7600,1900,107377948,NA,TRUE,FALSE,7200,300,mint_condition,luxury,NA,FALSE,NA,80539,7,3,5,FALSE,7,Maxvorstadt,NA,Sep18
NA,NA,FALSE,TRUE,14,5.96,NA,NA,110751378,NA,FALSE,TRUE,5000,190.49,first_time_use,NA,NA,TRUE,roof_storey,80331,6,NA,5,FALSE,7,Altstadt,NA,May19
260,floor_heating,TRUE,TRUE,15,6.61,2860,2018,110349428,steam_district_heating,TRUE,TRUE,2600,126,first_time_use,luxury,negotiable,FALSE,apartment,81241,3,2,3,FALSE,6,Pasing,NA,May19
190,floor_heating,FALSE,TRUE,2,5.26,1030,NA,115090529,NA,TRUE,TRUE,840,53,well_kept,normal,negotiable,TRUE,other,81927,2,3,2,FALSE,2,Bogenhausen,NA,Feb20
130,floor_heating,TRUE,TRUE,19,4.79,1059,2019,114298975,district_heating,FALSE,TRUE,929,31.09,first_time_use,sophisticated,no,TRUE,apartment,81737,1,3,1,TRUE,1,Perlach,NA,Feb20
170,central_heating,FALSE,FALSE,7,7.09,1320,1991,106869803,gas,FALSE,TRUE,1150,80,well_kept,sophisticated,negotiable,FALSE,apartment,81827,3,1,3,TRUE,3,Trudering,NA,Sep18
200,floor_heating,FALSE,TRUE,19,5.12,NA,2016,112962538,geothermal,TRUE,TRUE,2140,117,mint_condition,NA,NA,FALSE,ground_floor,81825,4,NA,4,TRUE,5,Trudering,NA,Oct19
350,NA,FALSE,TRUE,10,6.13,2130,NA,111342372,NA,TRUE,TRUE,1780,79,mint_condition,luxury,negotiable,TRUE,apartment,81249,3,2,3,FALSE,3,Aubing,NA,May19
190,NA,FALSE,TRUE,6,5.42,1290,2004,115559985,geothermal,TRUE,FALSE,1100,30,mint_condition,sophisticated,NA,TRUE,other,80336,1,4,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
130,floor_heating,TRUE,TRUE,18,4.9,1930,2020,115420065,NA,FALSE,FALSE,1800,85,first_time_use,sophisticated,no,FALSE,roof_storey,81249,3,2,3,TRUE,4,Aubing,NA,Feb20
100,central_heating,FALSE,FALSE,2,6.96,600,NA,111020446,gas,FALSE,FALSE,500,20,mint_condition,normal,no,FALSE,half_basement,80993,1,NA,1,FALSE,1,Moosach,NA,May19
210.53,floor_heating,TRUE,TRUE,37,5.56,2499.21,2019,106327421,district_heating,TRUE,TRUE,2176,108.24,first_time_use,luxury,no,TRUE,apartment,81927,4,2,4,FALSE,5,Bogenhausen,112.68,Oct19
145,district_heating,FALSE,TRUE,9,5.86,885,2014,114683315,district_heating,TRUE,FALSE,740,22.4,mint_condition,sophisticated,no,TRUE,other,80797,1,4,1,TRUE,1,Schwabing_West,NA,Feb20
190,central_heating,FALSE,TRUE,20,4.81,NA,1955,114201537,gas,FALSE,TRUE,2994,131,well_kept,NA,NA,TRUE,apartment,80538,3,2,3,FALSE,6,Lehel,100,Feb20
246,heat_pump,TRUE,FALSE,8,5.59,NA,2019,114136585,NA,TRUE,TRUE,1930,91.14,NA,NA,NA,TRUE,apartment,80997,3,0,3,TRUE,4,Moosach,NA,Feb20
159.06,central_heating,TRUE,TRUE,2,5.59,1039.71,2019,115692301,NA,FALSE,TRUE,768.14,77.59,NA,NA,NA,TRUE,apartment,81379,3,5,3,FALSE,3,Obersendling,112.51,Feb20
125,central_heating,FALSE,FALSE,10,4.18,1415,2017,113714144,district_heating,TRUE,TRUE,1290,36.11,mint_condition,luxury,NA,TRUE,apartment,80331,1,3,1,FALSE,1,Altstadt,0,Feb20
80,gas_heating,FALSE,TRUE,10,5.85,1740,1920,113690817,NA,FALSE,FALSE,1590,65.53,first_time_use_after_refurbishment,sophisticated,no,FALSE,apartment,80333,2,5,2,FALSE,3,Maxvorstadt,70,Oct19
55,central_heating,FALSE,FALSE,8,5.36,1327.31,1954,115555783,gas,FALSE,TRUE,1226.31,45.38,NA,NA,NA,FALSE,apartment,81371,2,5,2,FALSE,2,Sendling,46,Feb20
383,central_heating,FALSE,TRUE,21,5.94,5283,1900,113615116,district_heating,TRUE,TRUE,4900,179,well_kept,luxury,NA,FALSE,apartment,80802,5,2,5,FALSE,7,Schwabing,NA,Oct19
280,floor_heating,FALSE,TRUE,12,7.95,2260,2016,105685086,gas,TRUE,TRUE,1980,108,mint_condition,luxury,no,TRUE,roof_storey,81549,3.5,2,3,TRUE,5,Obergiesing,NA,May19
472.5,floor_heating,FALSE,TRUE,12,7.57,3772.5,2015,107608018,district_heating,TRUE,TRUE,3300,105,NA,sophisticated,negotiable,TRUE,apartment,80804,3,10,3,FALSE,5,Schwabing,NA,May19
550,central_heating,FALSE,TRUE,23,5.88,5550,2013,112398171,bio_energy,TRUE,FALSE,5000,182.5,first_time_use,luxury,negotiable,TRUE,maisonette,80799,3.5,NA,3,TRUE,7,Maxvorstadt,NA,Oct19
300,floor_heating,FALSE,TRUE,13,5.58,1900,2014,115144024,district_heating,FALSE,TRUE,1600,99,fully_renovated,sophisticated,no,TRUE,ground_floor,81829,3,0,3,TRUE,4,Riem,NA,Feb20
228,central_heating,FALSE,TRUE,13,6.88,1528,NA,79679070,NA,FALSE,TRUE,1300,86,modernized,sophisticated,negotiable,FALSE,roof_storey,81545,3,2,3,FALSE,4,Harlaching,NA,Sep18
200,central_heating,FALSE,TRUE,13,5.12,2000,1994,113718135,gas,TRUE,TRUE,1800,100,well_kept,sophisticated,no,FALSE,ground_floor,81827,4,NA,4,FALSE,4,Trudering,NA,Oct19
130,central_heating,FALSE,TRUE,6,5.57,NA,2018,115405315,NA,TRUE,TRUE,1055,32.47,NA,normal,NA,TRUE,apartment,80804,1,1,1,FALSE,1,Schwabing,NA,Feb20
250,central_heating,FALSE,TRUE,4,5.96,1600,1988,112524383,gas,TRUE,TRUE,1350,66,well_kept,sophisticated,NA,FALSE,ground_floor,80935,2,0,2,TRUE,3,Feldmoching,NA,Feb20
0,NA,FALSE,TRUE,20,5.72,1650,1957,113693775,heat_supply,FALSE,FALSE,1650,40,NA,NA,NA,FALSE,NA,80469,1,3,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,Oct19
280,self_contained_central_heating,FALSE,TRUE,16,5.72,NA,1950,113814846,district_heating,TRUE,TRUE,1850,70,first_time_use_after_refurbishment,NA,NA,TRUE,apartment,80469,2.5,2,2,FALSE,3,Ludwigsvorstadt_Isarvorstadt,NA,Oct19
370,oil_heating,FALSE,TRUE,13,6.83,2250,1956,111314370,oil,TRUE,TRUE,1880,68,modernized,sophisticated,no,TRUE,apartment,81677,3,7,3,FALSE,3,Bogenhausen,NA,May19
150,central_heating,FALSE,TRUE,10,7.98,1030,1970,73852164,oil,TRUE,TRUE,880,42.6,well_kept,normal,negotiable,TRUE,apartment,80636,1.5,3,1,FALSE,2,Neuhausen,NA,May19
200,floor_heating,TRUE,TRUE,21,5.39,1680,2018,104850931,solar_heating:natural_gas_light,FALSE,TRUE,1480,78,first_time_use,sophisticated,negotiable,TRUE,ground_floor,81375,2,0,2,TRUE,3,Hadern,NA,Oct19
175,central_heating,TRUE,TRUE,8,5.24,1660,2018,110976433,district_heating,TRUE,TRUE,1310,73,first_time_use,sophisticated,negotiable,TRUE,ground_floor,81245,2.5,0,2,FALSE,3,Obermenzing,110,Oct19
35,self_contained_central_heating,FALSE,TRUE,36,5.56,2335,1909,113497329,NA,FALSE,TRUE,2300,148,mint_condition,sophisticated,no,TRUE,maisonette,81675,3,4,3,FALSE,6,Bogenhausen,NA,Oct19
220,central_heating,FALSE,TRUE,10,5.56,2190,1962,113800585,natural_gas_light,TRUE,TRUE,1900,106.57,first_time_use_after_refurbishment,sophisticated,negotiable,FALSE,apartment,81925,3.5,1,3,FALSE,5,Bogenhausen,NA,Oct19
270,central_heating,TRUE,TRUE,18,6.07,1400,2019,114981583,district_heating,TRUE,TRUE,1185,36,first_time_use,luxury,NA,TRUE,NA,80797,1,2,1,TRUE,1,Schwabing_West,NA,Feb20
250,floor_heating,FALSE,TRUE,11,6.85,2950,2009,108097988,NA,TRUE,FALSE,2700,114,mint_condition,sophisticated,no,FALSE,ground_floor,80995,3,NA,3,TRUE,5,Feldmoching,NA,May19
460,NA,FALSE,TRUE,39,5.59,4760,NA,115384734,NA,TRUE,FALSE,4300,156,fully_renovated,sophisticated,negotiable,TRUE,roof_storey,80798,3.5,5,3,FALSE,7,Maxvorstadt,NA,Feb20
300,gas_heating,FALSE,TRUE,15,7.69,1195,2006,77126608,gas,TRUE,TRUE,895,33,refurbished,luxury,no,TRUE,apartment,81371,1,2,1,FALSE,1,Thalkirchen,NA,May19
